Report Date,Health District,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-23,Pittsylvania-Danville,42,17,2
2020-04-23,Peninsula,317,96,20
2020-04-23,Eastern Shore,88,18,2
2020-04-23,Lenowisco,34,12,2
2020-04-23,Cumberland Plateau,18,1,0
2020-04-23,Piedmont,104,17,3
2020-04-23,Southside,97,22,1
2020-04-23,Alexandria,512,74,14
2020-04-23,Henrico,718,99,83
2020-04-23,Hampton,99,26,1
2020-04-23,Alleghany,76,13,3
2020-04-23,Richmond,259,45,13
2020-04-23,Chesapeake,186,40,5
2020-04-23,Crater,164,32,9
2020-04-23,Roanoke,28,5,0
2020-04-23,Portsmouth,98,30,4
2020-04-23,Central Shenandoah,575,37,10
2020-04-23,New River,66,8,0
2020-04-23,Loudoun,498,64,10
2020-04-23,Central Virginia,99,7,1
2020-04-23,Chickahominy,194,38,12
2020-04-23,Rappahannock Rapidan,185,19,2
2020-04-23,Norfolk,136,31,3
2020-04-23,Arlington,686,118,24
2020-04-23,Prince William,1192,132,20
2020-04-23,Thomas Jefferson,242,48,10
2020-04-23,Rappahannock,336,75,9
2020-04-23,Three Rivers,122,11,1
2020-04-23,Chesterfield,452,34,9
2020-04-23,Lord Fairfax,234,28,0
2020-04-23,Fairfax,2413,436,80
2020-04-23,Virginia Beach,328,61,8
2020-04-23,Mount Rogers,59,15,4
2020-04-23,West Piedmont,28,4,1
2020-04-23,Western Tidewater,313,40,6
