Report Date,Number of Hospitalizations,Number of Deaths,Health District Name,Race,Number of Cases
2020-04-22,3,1,Central Virginia,Not Reported,67
2020-04-22,37,8,Loudoun,White,228
2020-04-22,30,3,Thomas Jefferson,Black,77
2020-04-22,0,0,West Piedmont,Black,1
2020-04-22,22,3,Portsmouth,Black,53
2020-04-22,0,0,Roanoke,Other,1
2020-04-22,16,1,Chesapeake,White,67
2020-04-22,25,2,Rappahannock,Not Reported,158
2020-04-22,1,0,Thomas Jefferson,Other,19
2020-04-22,16,4,Chesterfield,Black,110
2020-04-22,4,0,Portsmouth,White,24
2020-04-22,0,0,Rappahannock Rapidan,Black,3
2020-04-22,10,3,Alexandria,Not Reported,168
2020-04-22,1,0,Lord Fairfax,Not Reported,10
2020-04-22,0,0,Lenowisco,Other,1
2020-04-22,25,3,Alexandria,Black,78
2020-04-22,1,0,Mount Rogers,Not Reported,3
2020-04-22,3,0,Rappahannock Rapidan,Other,7
2020-04-22,17,1,Norfolk,Black,71
2020-04-22,4,0,Three Rivers,White,25
2020-04-22,6,0,Southside,Black,20
2020-04-22,13,4,Mount Rogers,White,53
2020-04-22,5,0,Loudoun,Not Reported,131
2020-04-22,14,4,Chesterfield,White,76
2020-04-22,13,2,Virginia Beach,Other,33
2020-04-22,17,0,Lord Fairfax,White,180
2020-04-22,25,6,Alexandria,White,164
2020-04-22,5,0,Alexandria,Other,64
2020-04-22,8,0,Southside,Not Reported,45
2020-04-22,4,0,Central Shenandoah,Other,87
2020-04-22,0,0,Central Virginia,Other,1
2020-04-22,57,14,Fairfax,Not Reported,753
2020-04-22,11,3,Alleghany,White,53
2020-04-22,3,0,Roanoke,Black,5
2020-04-22,14,2,Western Tidewater,White,79
2020-04-22,0,0,Thomas Jefferson,Not Reported,15
2020-04-22,1,0,New River,Black,3
2020-04-22,7,1,Southside,White,18
2020-04-22,7,0,Rappahannock Rapidan,Not Reported,105
2020-04-22,0,0,Roanoke,Not Reported,6
2020-04-22,6,1,Peninsula,Other,11
2020-04-22,0,0,West Piedmont,Not Reported,1
2020-04-22,2,0,Portsmouth,Other,5
2020-04-22,48,3,Fairfax,Black,160
2020-04-22,6,1,Chickahominy,Not Reported,95
2020-04-22,37,3,Prince William,Other,176
2020-04-22,11,2,Pittsylvania-Danville,White,19
2020-04-22,2,0,Virginia Beach,Not Reported,39
2020-04-22,4,1,Peninsula,Not Reported,50
2020-04-22,1,0,Mount Rogers,Other,2
2020-04-22,3,1,Henrico,Not Reported,95
2020-04-22,1,1,Lenowisco,Not Reported,9
2020-04-22,4,0,Loudoun,Black,34
2020-04-22,23,4,Western Tidewater,Black,100
2020-04-22,1,0,Hampton,Other,3
2020-04-22,8,2,Rappahannock Rapidan,White,49
2020-04-22,3,0,Lord Fairfax,Other,20
2020-04-22,3,0,West Piedmont,White,24
2020-04-22,28,8,Central Shenandoah,White,269
2020-04-22,4,0,Hampton,White,20
2020-04-22,0,0,Norfolk,Not Reported,11
2020-04-22,15,3,Crater,Black,62
2020-04-22,15,1,Loudoun,Other,82
2020-04-22,3,0,Richmond,Other,14
2020-04-22,1,0,Chickahominy,Other,4
2020-04-22,2,1,Central Shenandoah,Black,29
2020-04-22,31,10,Richmond,Black,150
2020-04-22,27,4,Rappahannock,White,92
2020-04-22,20,1,Hampton,Black,62
2020-04-22,2,0,Central Shenandoah,Not Reported,140
2020-04-22,0,0,Eastern Shore,Not Reported,1
2020-04-22,0,0,Alleghany,Black,4
2020-04-22,34,6,Arlington,Other,66
2020-04-22,1,0,Western Tidewater,Other,8
2020-04-22,3,0,Three Rivers,Black,37
2020-04-22,7,4,Crater,White,21
2020-04-22,11,1,Virginia Beach,Black,60
2020-04-22,1,0,Norfolk,Other,7
2020-04-22,12,7,Arlington,Black,33
2020-04-22,15,7,Thomas Jefferson,White,123
2020-04-22,49,5,Arlington,Not Reported,477
2020-04-22,2,2,Henrico,Other,31
2020-04-22,1,0,Three Rivers,Other,3
2020-04-22,6,0,Prince William,Not Reported,508
2020-04-22,25,3,Peninsula,Black,67
2020-04-22,0,0,Lord Fairfax,Black,7
2020-04-22,16,6,Chickahominy,White,67
2020-04-22,6,0,New River,White,36
2020-04-22,0,0,Chesterfield,Other,13
2020-04-22,1,1,West Piedmont,Other,2
2020-04-22,1,0,Hampton,Not Reported,12
2020-04-22,34,5,Virginia Beach,White,181
2020-04-22,1,0,Cumberland Plateau,White,10
2020-04-22,1,0,New River,Not Reported,27
2020-04-22,2,1,Three Rivers,Not Reported,39
2020-04-22,11,2,Norfolk,White,37
2020-04-22,0,0,Piedmont,Other,1
2020-04-22,13,1,Eastern Shore,Black,43
2020-04-22,1,0,Western Tidewater,Not Reported,62
2020-04-22,2,0,Pittsylvania-Danville,Not Reported,9
2020-04-22,4,0,Pittsylvania-Danville,Black,10
2020-04-22,0,0,Eastern Shore,Other,2
2020-04-22,20,2,Chesapeake,Black,58
2020-04-22,2,0,Alleghany,Not Reported,15
2020-04-22,14,3,Rappahannock,Black,46
2020-04-22,4,1,Central Virginia,White,22
2020-04-22,21,6,Arlington,White,87
2020-04-22,1,2,Piedmont,White,20
2020-04-22,9,1,Lenowisco,White,22
2020-04-22,1,0,Chesapeake,Not Reported,41
2020-04-22,12,4,Chickahominy,Black,25
2020-04-22,142,41,Fairfax,White,685
2020-04-22,61,15,Peninsula,White,183
2020-04-22,0,0,Southside,Other,11
2020-04-22,162,10,Fairfax,Other,708
2020-04-22,2,1,Portsmouth,Not Reported,11
2020-04-22,55,37,Henrico,Black,295
2020-04-22,5,0,Richmond,White,57
2020-04-22,0,0,Central Virginia,Black,3
2020-04-22,0,0,Alleghany,Other,1
2020-04-22,2,0,Piedmont,Not Reported,24
2020-04-22,29,8,Prince William,Black,141
2020-04-22,3,0,Eastern Shore,White,21
2020-04-22,2,0,Roanoke,White,15
2020-04-22,4,2,Crater,Not Reported,56
2020-04-22,2,2,Chesapeake,Other,14
2020-04-22,0,0,Cumberland Plateau,Black,8
2020-04-22,2,0,Richmond,Not Reported,29
2020-04-22,9,0,Rappahannock,Other,14
2020-04-22,36,42,Henrico,White,263
2020-04-22,13,1,Piedmont,Black,45
2020-04-22,50,7,Prince William,White,250
2020-04-22,0,1,Chesterfield,Not Reported,203
