LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men's CCAP,0,0,0,50,1
Augusta Correctional Center,92,2,5,585,35
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,0,0,0,185,7
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,42,2,4,635,19
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,2
Chesterfield Women's CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,3,0,0,29,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,14
Dillwyn Correctional Center,1,0,2,351,6
Fluvanna Correctional Center for Women,10,0,0,366,17
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),1,0,2,698,35
Halifax Correctional Unit,128,0,0,129,9
Harrisonburg Men's CCAP,0,0,0,26,1
Haynesville Correctional Center,117,0,1,377,11
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,4
Keen Mountain Correctional Center,0,0,1,15,8
Lawrenceville Correctional Center,1,0,1,99,2
Lunenburg Correctional Center,36,0,1,112,1
Marion Correctional Treatment Center,0,1,1,89,18
Nottoway Correctional Center (includes Nottoway Work Center),52,2,1,500,20
Patrick Henry Correctional Unit,20,0,0,59,7
Pocahontas State Correctional Center,6,0,3,222,5
Red Onion State Prison,2,0,0,28,5
River North Correctional Center,0,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,2
St. Brides Correctional Center,0,0,0,422,8
Stafford Men's CCAP,0,0,0,8,0
State Farm Correctional Complex,8,2,7,486,43
Sussex I State Prison,0,0,0,177,11
Sussex II State Prison,64,3,1,147,12
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,6
Wallens Ridge State Prison,0,0,0,1,6
Wise Correctional Unit,0,0,0,24,0
Probation & Parole - Eastern Region,n/a,n/a,n/a,n/a,3
Probation & Parole - Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole - Western Region,n/a,n/a,n/a,n/a,9
Administration & Operations,n/a,n/a,n/a,n/a,5
Totals,583,12,51,7913,350
