"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
6/20/2020,20105,108,1409
6/20/2020,20106,38,230
6/20/2020,20109,1106,4198
6/20/2020,20110,1441,6052
6/20/2020,20111,911,3416
6/20/2020,20112,209,1653
6/20/2020,20115,36,285
6/20/2020,20117,8,116
6/20/2020,20118,Suppressed*,89
6/20/2020,20119,27,219
6/20/2020,20120,318,2026
6/20/2020,20121,222,1374
6/20/2020,20124,63,688
6/20/2020,20129,7,59
6/20/2020,20130,0,16
6/20/2020,20132,63,886
6/20/2020,20135,10,146
6/20/2020,20136,188,1480
6/20/2020,20137,15,99
6/20/2020,20139,Suppressed*,12
6/20/2020,20141,18,324
6/20/2020,20143,Suppressed*,60
6/20/2020,20144,Suppressed*,36
6/20/2020,20147,368,3785
6/20/2020,20148,179,2153
6/20/2020,20151,263,1344
6/20/2020,20152,163,1661
6/20/2020,20155,244,2086
6/20/2020,20158,17,209
6/20/2020,20164,1129,4262
6/20/2020,20165,277,2830
6/20/2020,20166,193,1029
6/20/2020,20169,94,1174
6/20/2020,20170,994,3404
6/20/2020,20171,291,1910
6/20/2020,20175,224,2299
6/20/2020,20176,670,3819
6/20/2020,20180,25,362
6/20/2020,20181,37,497
6/20/2020,20184,Suppressed*,49
6/20/2020,20186,71,1034
6/20/2020,20187,74,847
6/20/2020,20190,213,1666
6/20/2020,20191,305,1663
6/20/2020,20194,35,533
6/20/2020,20197,6,133
6/20/2020,20198,6,95
6/20/2020,22003,1216,4882
6/20/2020,22015,369,2219
6/20/2020,22025,114,1012
6/20/2020,22026,232,1419
6/20/2020,22027,55,162
6/20/2020,22030,394,3224
6/20/2020,22031,396,2518
6/20/2020,22032,131,1309
6/20/2020,22033,253,1976
6/20/2020,22035,Suppressed*,38
6/20/2020,22039,58,781
6/20/2020,22041,720,3072
6/20/2020,22042,773,3041
6/20/2020,22043,239,1269
6/20/2020,22044,266,1095
6/20/2020,22046,201,1203
6/20/2020,22060,14,176
6/20/2020,22066,74,774
6/20/2020,22079,304,1882
6/20/2020,22101,124,1911
6/20/2020,22102,123,1318
6/20/2020,22124,61,792
6/20/2020,22125,Suppressed*,50
6/20/2020,22134,18,113
6/20/2020,22150,748,3332
6/20/2020,22151,275,1224
6/20/2020,22152,197,1407
6/20/2020,22153,166,1450
6/20/2020,22172,147,782
6/20/2020,22180,217,1405
6/20/2020,22181,62,618
6/20/2020,22182,121,1230
6/20/2020,22191,1514,7086
6/20/2020,22192,667,4913
6/20/2020,22193,1452,7056
6/20/2020,22201,213,1889
6/20/2020,22202,203,1389
6/20/2020,22203,318,1743
6/20/2020,22204,971,4463
6/20/2020,22205,138,1386
6/20/2020,22206,172,1252
6/20/2020,22207,270,2146
6/20/2020,22209,85,699
6/20/2020,22211,Suppressed*,18
6/20/2020,22213,18,169
6/20/2020,22214,0,2
6/20/2020,22301,81,859
6/20/2020,22302,233,2245
6/20/2020,22303,208,1041
6/20/2020,22304,655,3987
6/20/2020,22305,590,2120
6/20/2020,22306,830,3046
6/20/2020,22307,74,620
6/20/2020,22308,69,532
6/20/2020,22309,615,2331
6/20/2020,22310,288,1592
6/20/2020,22311,428,2171
6/20/2020,22312,549,2437
6/20/2020,22314,192,1998
6/20/2020,22315,103,1256
6/20/2020,22401,205,1895
6/20/2020,22405,134,1713
6/20/2020,22406,115,1383
6/20/2020,22407,559,3961
6/20/2020,22408,184,1676
6/20/2020,22427,15,196
6/20/2020,22432,Suppressed*,36
6/20/2020,22433,Suppressed*,9
6/20/2020,22435,Suppressed*,131
6/20/2020,22436,0,43
6/20/2020,22437,Suppressed*,52
6/20/2020,22438,Suppressed*,37
6/20/2020,22443,33,366
6/20/2020,22448,Suppressed*,31
6/20/2020,22454,Suppressed*,87
6/20/2020,22460,5,108
6/20/2020,22469,13,128
6/20/2020,22473,21,261
6/20/2020,22476,Suppressed*,21
6/20/2020,22480,0,48
6/20/2020,22482,5,145
6/20/2020,22485,94,1253
6/20/2020,22488,Suppressed*,69
6/20/2020,22503,6,245
6/20/2020,22504,0,10
6/20/2020,22508,57,758
6/20/2020,22509,Suppressed*,7
6/20/2020,22511,5,59
6/20/2020,22514,14,131
6/20/2020,22520,36,337
6/20/2020,22529,Suppressed*,14
6/20/2020,22530,0,3
6/20/2020,22534,5,124
6/20/2020,22535,Suppressed*,31
6/20/2020,22538,0,15
6/20/2020,22539,Suppressed*,108
6/20/2020,22542,7,109
6/20/2020,22546,64,787
6/20/2020,22548,0,3
6/20/2020,22551,88,1036
6/20/2020,22553,45,794
6/20/2020,22554,435,3201
6/20/2020,22556,220,1538
6/20/2020,22560,39,770
6/20/2020,22567,6,161
6/20/2020,22572,282,905
6/20/2020,22576,0,69
6/20/2020,22578,Suppressed*,92
6/20/2020,22579,Suppressed*,14
6/20/2020,22580,19,264
6/20/2020,22601,288,9914
6/20/2020,22602,160,590
6/20/2020,22603,103,362
6/20/2020,22610,8,30
6/20/2020,22611,21,220
6/20/2020,22620,9,80
6/20/2020,22623,Suppressed*,8
6/20/2020,22624,7,40
6/20/2020,22625,6,46
6/20/2020,22627,0,24
6/20/2020,22630,207,1123
6/20/2020,22637,Suppressed*,23
6/20/2020,22639,0,14
6/20/2020,22640,Suppressed*,12
6/20/2020,22641,0,2
6/20/2020,22642,20,117
6/20/2020,22643,0,15
6/20/2020,22644,48,79
6/20/2020,22645,24,84
6/20/2020,22646,0,11
6/20/2020,22650,Suppressed*,17
6/20/2020,22652,7,33
6/20/2020,22654,Suppressed*,13
6/20/2020,22655,110,380
6/20/2020,22656,20,92
6/20/2020,22657,57,269
6/20/2020,22660,14,36
6/20/2020,22663,13,29
6/20/2020,22664,187,787
6/20/2020,22701,689,2640
6/20/2020,22709,Suppressed*,44
6/20/2020,22711,0,3
6/20/2020,22712,100,628
6/20/2020,22713,7,55
6/20/2020,22714,14,64
6/20/2020,22715,Suppressed*,57
6/20/2020,22716,Suppressed*,28
6/20/2020,22718,Suppressed*,25
6/20/2020,22719,0,10
6/20/2020,22720,Suppressed*,44
6/20/2020,22722,0,7
6/20/2020,22723,0,7
6/20/2020,22724,14,103
6/20/2020,22726,22,88
6/20/2020,22727,19,261
6/20/2020,22728,12,148
6/20/2020,22729,Suppressed*,13
6/20/2020,22730,Suppressed*,5
6/20/2020,22731,Suppressed*,15
6/20/2020,22732,Suppressed*,14
6/20/2020,22733,17,77
6/20/2020,22734,25,190
6/20/2020,22735,Suppressed*,82
6/20/2020,22736,Suppressed*,25
6/20/2020,22737,7,119
6/20/2020,22738,Suppressed*,44
6/20/2020,22740,Suppressed*,50
6/20/2020,22741,0,12
6/20/2020,22742,20,123
6/20/2020,22743,0,4
6/20/2020,22747,Suppressed*,36
6/20/2020,22749,0,15
6/20/2020,22801,630,2625
6/20/2020,22802,506,2070
6/20/2020,22807,Suppressed*,6
6/20/2020,22810,Suppressed*,36
6/20/2020,22811,Suppressed*,30
6/20/2020,22812,29,437
6/20/2020,22815,87,462
6/20/2020,22820,0,5
6/20/2020,22821,28,240
6/20/2020,22824,80,174
6/20/2020,22827,69,613
6/20/2020,22830,16,91
6/20/2020,22831,7,53
6/20/2020,22832,Suppressed*,47
6/20/2020,22834,6,58
6/20/2020,22835,152,554
6/20/2020,22840,17,229
6/20/2020,22841,18,141
6/20/2020,22842,75,211
6/20/2020,22843,6,93
6/20/2020,22844,42,227
6/20/2020,22845,0,4
6/20/2020,22846,12,106
6/20/2020,22847,Suppressed*,35
6/20/2020,22849,34,220
6/20/2020,22850,8,55
6/20/2020,22851,70,209
6/20/2020,22853,56,269
6/20/2020,22901,161,2447
6/20/2020,22902,129,1559
6/20/2020,22903,93,2221
6/20/2020,22904,0,13
6/20/2020,22911,40,1280
6/20/2020,22920,6,165
6/20/2020,22922,6,104
6/20/2020,22923,11,248
6/20/2020,22931,0,17
6/20/2020,22932,21,423
6/20/2020,22935,Suppressed*,65
6/20/2020,22936,5,273
6/20/2020,22937,Suppressed*,71
6/20/2020,22938,Suppressed*,62
6/20/2020,22939,12,311
6/20/2020,22940,Suppressed*,53
6/20/2020,22942,22,571
6/20/2020,22943,Suppressed*,26
6/20/2020,22946,Suppressed*,15
6/20/2020,22947,8,237
6/20/2020,22948,0,8
6/20/2020,22949,0,84
6/20/2020,22952,5,106
6/20/2020,22958,Suppressed*,84
6/20/2020,22959,6,108
6/20/2020,22960,40,628
6/20/2020,22963,31,831
6/20/2020,22964,0,13
6/20/2020,22967,Suppressed*,71
6/20/2020,22968,29,583
6/20/2020,22969,Suppressed*,79
6/20/2020,22971,0,76
6/20/2020,22972,Suppressed*,22
6/20/2020,22973,10,461
6/20/2020,22974,10,266
6/20/2020,22976,0,16
6/20/2020,22980,65,1375
6/20/2020,22989,0,6
6/20/2020,23002,33,674
6/20/2020,23004,11,89
6/20/2020,23005,74,1170
6/20/2020,23009,23,400
6/20/2020,23011,Suppressed*,51
6/20/2020,23015,13,238
6/20/2020,23021,0,12
6/20/2020,23022,8,70
6/20/2020,23023,Suppressed*,24
6/20/2020,23024,35,483
6/20/2020,23025,0,15
6/20/2020,23027,7,88
6/20/2020,23030,30,324
6/20/2020,23032,0,15
6/20/2020,23035,Suppressed*,39
6/20/2020,23038,8,100
6/20/2020,23039,Suppressed*,49
6/20/2020,23040,30,312
6/20/2020,23043,Suppressed*,68
6/20/2020,23045,0,2
6/20/2020,23047,7,99
6/20/2020,23050,Suppressed*,29
6/20/2020,23055,41,88
6/20/2020,23056,0,2
6/20/2020,23059,91,1707
6/20/2020,23060,170,2180
6/20/2020,23061,27,811
6/20/2020,23062,5,107
6/20/2020,23063,59,424
6/20/2020,23064,0,3
6/20/2020,23065,Suppressed*,98
6/20/2020,23066,0,7
6/20/2020,23068,0,10
6/20/2020,23069,9,178
6/20/2020,23070,0,22
6/20/2020,23071,Suppressed*,72
6/20/2020,23072,9,405
6/20/2020,23075,138,843
6/20/2020,23076,0,24
6/20/2020,23079,0,16
6/20/2020,23083,7,130
6/20/2020,23084,10,125
6/20/2020,23085,Suppressed*,19
6/20/2020,23086,5,150
6/20/2020,23089,10,281
6/20/2020,23091,0,22
6/20/2020,23092,0,34
6/20/2020,23093,37,839
6/20/2020,23102,9,152
6/20/2020,23103,22,341
6/20/2020,23106,Suppressed*,56
6/20/2020,23108,0,2
6/20/2020,23109,Suppressed*,93
6/20/2020,23110,0,24
6/20/2020,23111,123,2386
6/20/2020,23112,163,3036
6/20/2020,23113,141,1788
6/20/2020,23114,65,1113
6/20/2020,23115,13,16
6/20/2020,23116,138,1867
6/20/2020,23117,26,570
6/20/2020,23119,Suppressed*,15
6/20/2020,23120,42,631
6/20/2020,23123,16,185
6/20/2020,23124,7,256
6/20/2020,23125,0,4
6/20/2020,23126,Suppressed*,26
6/20/2020,23128,Suppressed*,49
6/20/2020,23129,Suppressed*,17
6/20/2020,23130,Suppressed*,13
6/20/2020,23138,0,22
6/20/2020,23139,51,1163
6/20/2020,23140,22,373
6/20/2020,23141,20,429
6/20/2020,23146,6,139
6/20/2020,23148,Suppressed*,103
6/20/2020,23149,7,223
6/20/2020,23150,93,873
6/20/2020,23153,5,77
6/20/2020,23156,5,61
6/20/2020,23160,7,63
6/20/2020,23161,0,4
6/20/2020,23163,0,5
6/20/2020,23168,11,416
6/20/2020,23169,Suppressed*,53
6/20/2020,23173,Suppressed*,6
6/20/2020,23175,Suppressed*,139
6/20/2020,23176,0,29
6/20/2020,23177,0,38
6/20/2020,23180,0,19
6/20/2020,23181,Suppressed*,275
6/20/2020,23185,166,2834
6/20/2020,23187,Suppressed*,20
6/20/2020,23188,151,2340
6/20/2020,23192,15,355
6/20/2020,23219,29,682
6/20/2020,23220,91,2107
6/20/2020,23221,42,944
6/20/2020,23222,146,1991
6/20/2020,23223,379,4423
6/20/2020,23224,823,5023
6/20/2020,23225,440,3929
6/20/2020,23226,217,4126
6/20/2020,23227,159,2286
6/20/2020,23228,280,2583
6/20/2020,23229,235,2411
6/20/2020,23230,57,2816
6/20/2020,23231,169,2591
6/20/2020,23233,144,1838
6/20/2020,23234,920,4393
6/20/2020,23235,225,2594
6/20/2020,23236,134,1926
6/20/2020,23237,322,2168
6/20/2020,23238,271,1894
6/20/2020,23250,0,3
6/20/2020,23294,141,1236
6/20/2020,23301,104,251
6/20/2020,23302,Suppressed*,16
6/20/2020,23303,19,114
6/20/2020,23304,Suppressed*,12
6/20/2020,23306,27,116
6/20/2020,23307,16,61
6/20/2020,23308,51,211
6/20/2020,23310,31,221
6/20/2020,23313,Suppressed*,9
6/20/2020,23314,16,351
6/20/2020,23315,Suppressed*,64
6/20/2020,23316,14,77
6/20/2020,23320,229,5120
6/20/2020,23321,76,1739
6/20/2020,23322,124,1965
6/20/2020,23323,120,1624
6/20/2020,23324,109,1011
6/20/2020,23325,63,844
6/20/2020,23336,10,133
6/20/2020,23337,0,19
6/20/2020,23347,18,66
6/20/2020,23350,74,309
