"﻿Report Date","Health District",Ethnicity,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-19,Southside,"Not Reported",148,23,12
2020-05-19,"Lord Fairfax","Hispanic or Latino",214,20,4
2020-05-19,"Eastern Shore","Not Hispanic or Latino",656,46,17
2020-05-19,Portsmouth,"Hispanic or Latino",6,2,0
2020-05-19,Fairfax,"Not Reported",2069,99,92
2020-05-19,Richmond,"Hispanic or Latino",238,26,1
2020-05-19,Chesapeake,"Not Reported",98,6,0
2020-05-19,Arlington,"Hispanic or Latino",461,125,8
2020-05-19,"West Piedmont","Not Hispanic or Latino",61,9,3
2020-05-19,Fairfax,"Not Hispanic or Latino",2209,547,177
2020-05-19,Piedmont,"Hispanic or Latino",15,0,0
2020-05-19,Crater,"Not Hispanic or Latino",230,50,7
2020-05-19,Chickahominy,"Not Hispanic or Latino",169,57,22
2020-05-19,"New River","Not Hispanic or Latino",55,12,1
2020-05-19,"Lord Fairfax","Not Reported",279,14,8
2020-05-19,Rappahannock,"Not Reported",369,20,1
2020-05-19,"Central Shenandoah","Not Reported",202,4,5
2020-05-19,"Central Virginia","Not Hispanic or Latino",63,11,2
2020-05-19,Lenowisco,"Not Hispanic or Latino",23,11,2
2020-05-19,"Cumberland Plateau","Not Hispanic or Latino",18,2,0
2020-05-19,"Western Tidewater","Not Hispanic or Latino",323,55,30
2020-05-19,"New River","Not Reported",30,0,0
2020-05-19,Chesterfield,"Not Reported",703,17,18
2020-05-19,Chesterfield,"Hispanic or Latino",158,4,0
2020-05-19,Hampton,"Not Hispanic or Latino",120,29,3
2020-05-19,Chesapeake,"Not Hispanic or Latino",280,67,9
2020-05-19,Peninsula,"Hispanic or Latino",41,9,1
2020-05-19,Arlington,"Not Reported",785,84,17
2020-05-19,Roanoke,"Not Hispanic or Latino",72,7,7
2020-05-19,"Lord Fairfax","Not Hispanic or Latino",442,54,23
2020-05-19,"Eastern Shore","Hispanic or Latino",142,5,3
2020-05-19,"Mount Rogers","Not Reported",21,2,0
2020-05-19,"Three Rivers","Not Hispanic or Latino",263,20,3
2020-05-19,"Thomas Jefferson","Not Reported",39,0,0
2020-05-19,"Three Rivers","Not Reported",146,10,3
2020-05-19,Arlington,"Not Hispanic or Latino",442,122,54
2020-05-19,Alleghany,"Not Hispanic or Latino",106,17,5
2020-05-19,Loudoun,"Not Reported",580,7,7
2020-05-19,Fairfax,"Hispanic or Latino",3833,482,30
2020-05-19,Peninsula,"Not Reported",104,3,2
2020-05-19,Crater,"Hispanic or Latino",23,1,0
2020-05-19,Piedmont,"Not Hispanic or Latino",257,27,3
2020-05-19,Henrico,"Hispanic or Latino",86,14,3
2020-05-19,Alexandria,"Not Hispanic or Latino",494,89,26
2020-05-19,"Central Virginia","Hispanic or Latino",15,2,1
2020-05-19,Alleghany,"Not Reported",49,2,1
2020-05-19,"Cumberland Plateau","Hispanic or Latino",0,0,0
2020-05-19,"Western Tidewater","Hispanic or Latino",3,0,0
2020-05-19,Chesterfield,"Not Hispanic or Latino",284,51,18
2020-05-19,Pittsylvania-Danville,"Not Hispanic or Latino",49,17,2
2020-05-19,"Mount Rogers","Hispanic or Latino",102,0,0
2020-05-19,Richmond,"Not Reported",260,17,1
2020-05-19,Peninsula,"Not Hispanic or Latino",366,100,28
2020-05-19,Chesapeake,"Hispanic or Latino",18,5,1
2020-05-19,Southside,"Hispanic or Latino",2,1,0
2020-05-19,"Thomas Jefferson","Not Hispanic or Latino",313,65,13
2020-05-19,Norfolk,"Not Hispanic or Latino",251,51,6
2020-05-19,Portsmouth,"Not Reported",127,8,2
2020-05-19,Norfolk,"Not Reported",70,1,0
2020-05-19,"Three Rivers","Hispanic or Latino",28,0,0
2020-05-19,"Eastern Shore","Not Reported",107,0,0
2020-05-19,Alleghany,"Hispanic or Latino",12,4,0
2020-05-19,Henrico,"Not Reported",539,26,23
2020-05-19,Henrico,"Not Hispanic or Latino",674,131,88
2020-05-19,Loudoun,"Not Hispanic or Latino",499,87,38
2020-05-19,Hampton,"Not Reported",34,1,0
2020-05-19,"Rappahannock Rapidan","Not Hispanic or Latino",152,20,7
2020-05-19,Alexandria,"Not Reported",335,5,4
2020-05-19,Rappahannock,"Not Hispanic or Latino",332,61,12
2020-05-19,"Western Tidewater","Not Reported",231,2,1
2020-05-19,"Cumberland Plateau","Not Reported",14,0,0
2020-05-19,Alexandria,"Hispanic or Latino",715,74,4
2020-05-19,"Virginia Beach","Not Hispanic or Latino",411,75,17
2020-05-19,"Prince William","Hispanic or Latino",1774,266,18
2020-05-19,"Virginia Beach","Not Reported",105,7,1
2020-05-19,"Central Shenandoah","Hispanic or Latino",527,32,2
2020-05-19,Pittsylvania-Danville,"Hispanic or Latino",5,1,0
2020-05-19,"Mount Rogers","Not Hispanic or Latino",114,16,5
2020-05-19,Piedmont,"Not Reported",314,12,2
2020-05-19,Southside,"Not Hispanic or Latino",78,10,6
2020-05-19,"Thomas Jefferson","Hispanic or Latino",35,1,0
2020-05-19,Pittsylvania-Danville,"Not Reported",16,5,0
2020-05-19,Norfolk,"Hispanic or Latino",49,5,0
2020-05-19,Portsmouth,"Not Hispanic or Latino",104,29,8
2020-05-19,"West Piedmont","Not Reported",26,4,0
2020-05-19,Richmond,"Not Hispanic or Latino",313,75,17
2020-05-19,"West Piedmont","Hispanic or Latino",14,0,0
2020-05-19,"Prince William","Not Reported",2232,16,4
2020-05-19,"Rappahannock Rapidan","Not Reported",272,11,1
2020-05-19,Chickahominy,"Hispanic or Latino",16,2,0
2020-05-19,Lenowisco,"Not Reported",19,4,2
2020-05-19,"New River","Hispanic or Latino",3,0,0
2020-05-19,Crater,"Not Reported",197,29,7
2020-05-19,Chickahominy,"Not Reported",186,15,4
2020-05-19,Loudoun,"Hispanic or Latino",448,46,3
2020-05-19,"Rappahannock Rapidan","Hispanic or Latino",377,28,3
2020-05-19,Roanoke,"Not Reported",38,0,1
2020-05-19,Rappahannock,"Hispanic or Latino",332,43,1
2020-05-19,Lenowisco,"Hispanic or Latino",0,0,0
2020-05-19,"Virginia Beach","Hispanic or Latino",43,5,1
2020-05-19,"Prince William","Not Hispanic or Latino",810,166,59
2020-05-19,"Central Virginia","Not Reported",100,3,0
2020-05-19,"Central Shenandoah","Not Hispanic or Latino",498,58,20
2020-05-19,Hampton,"Hispanic or Latino",10,0,0
2020-05-19,Roanoke,"Hispanic or Latino",25,0,0
