"﻿Report Date","Number of Cases","Number of Hospitalizations","Number of Deaths","Race and Ethnicity","Health District or Health District Group"
2020-07-09,192,16,8,"Not Reported",Southside
2020-07-09,342,51,12,White,Chesapeake
2020-07-09,7,3,0,"Other Race","Three Rivers"
2020-07-09,1,0,0,"Other Race","Central Virginia"
2020-07-09,0,0,0,"Two or more races","Central Virginia"
2020-07-09,66,2,0,White,"Cumberland Plateau"
2020-07-09,0,0,0,"Two or more races",Lenowisco
2020-07-09,385,55,28,Black,"Western Tidewater"
2020-07-09,13,1,0,Latino,"Western Tidewater"
2020-07-09,2206,75,45,"Not Reported",Fairfax
2020-07-09,152,2,0,"Not Reported",Chesapeake
2020-07-09,415,36,20,White,"Thomas Jefferson"
2020-07-09,2,0,0,"Two or more races","Cumberland Plateau"
2020-07-09,143,19,3,Black,Loudoun
2020-07-09,1078,130,10,Latino,Loudoun
2020-07-09,71,5,0,Latino,Alleghany
2020-07-09,19,2,1,Black,Alleghany
2020-07-09,212,20,4,Black,"Three Rivers"
2020-07-09,83,3,0,Latino,"Three Rivers"
2020-07-09,10,1,0,"Two or more races","Central Shenandoah"
2020-07-09,189,28,4,Black,Hampton
2020-07-09,36,3,0,Latino,Hampton
2020-07-09,6,0,1,"Other Race",Southside
2020-07-09,6,0,0,"Other Race",Piedmont
2020-07-09,221,10,0,"Other Race","Prince William"
2020-07-09,92,7,1,"Other Race",Richmond
2020-07-09,4,0,0,"Two or more races",Hampton
2020-07-09,179,15,0,Latino,Norfolk
2020-07-09,266,3,5,"Not Reported","Lord Fairfax"
2020-07-09,652,78,9,Black,Norfolk
2020-07-09,26,2,1,Black,"Central Virginia"
2020-07-09,894,90,6,Latino,Rappahannock
2020-07-09,25,1,1,Latino,"Central Virginia"
2020-07-09,296,46,9,Black,Rappahannock
2020-07-09,194,16,4,White,"West Piedmont"
2020-07-09,737,23,0,"Not Reported",Rappahannock
2020-07-09,192,2,1,"Not Reported","Central Shenandoah"
2020-07-09,675,36,3,Latino,Chesterfield
2020-07-09,424,58,18,Black,Chesterfield
2020-07-09,792,48,4,Latino,"Central Shenandoah"
2020-07-09,2,0,0,Latino,Southside
2020-07-09,116,22,8,Black,Southside
2020-07-09,97,9,4,Black,"Central Shenandoah"
2020-07-09,340,75,24,White,Peninsula
2020-07-09,334,33,10,White,"Rappahannock Rapidan"
2020-07-09,19,2,0,Latino,"New River"
2020-07-09,19,3,0,Black,"New River"
2020-07-09,3,0,0,"Other Race",Roanoke
2020-07-09,3,0,0,"Two or more races","Three Rivers"
2020-07-09,899,133,76,White,"Prince William"
2020-07-09,0,0,0,"Two or more races","West Piedmont"
2020-07-09,48,0,0,"Not Reported","New River"
2020-07-09,1498,4,13,"Not Reported",Chesterfield
2020-07-09,2,0,0,"Two or more races",Crater
2020-07-09,50,16,3,White,Lenowisco
2020-07-09,217,36,31,White,"Western Tidewater"
2020-07-09,55,6,1,"Other Race","Lord Fairfax"
2020-07-09,2,1,0,"Two or more races",Chickahominy
2020-07-09,763,126,70,Black,Henrico
2020-07-09,580,42,6,Latino,Henrico
2020-07-09,236,23,14,White,Alleghany
2020-07-09,293,35,10,Black,Peninsula
2020-07-09,184,12,0,Latino,Peninsula
2020-07-09,114,7,2,"Other Race",Loudoun
2020-07-09,164,8,2,"Not Reported",Arlington
2020-07-09,48,1,1,"Not Reported","Mount Rogers"
2020-07-09,84,11,4,White,Portsmouth
2020-07-09,2,0,0,"Two or more races","Western Tidewater"
2020-07-09,100,0,0,"Not Reported","Thomas Jefferson"
2020-07-09,153,4,0,"Not Reported","Three Rivers"
2020-07-09,599,129,21,Black,Richmond
2020-07-09,927,73,5,Latino,Richmond
2020-07-09,0,0,0,Latino,"Cumberland Plateau"
2020-07-09,44,4,0,"Other Race",Rappahannock
2020-07-09,12,0,0,Black,"Cumberland Plateau"
2020-07-09,2017,2,2,"Not Reported",Loudoun
2020-07-09,761,91,74,White,Loudoun
2020-07-09,353,1,0,"Not Reported",Peninsula
2020-07-09,637,77,86,White,Henrico
2020-07-09,6,1,0,"Two or more races",Chesterfield
2020-07-09,220,21,4,White,Richmond
2020-07-09,8,1,0,"Two or more races",Chesapeake
2020-07-09,311,67,30,White,Chickahominy
2020-07-09,0,0,0,Latino,Lenowisco
2020-07-09,1,0,0,Black,Lenowisco
2020-07-09,1,0,0,"Two or more races",Roanoke
2020-07-09,59,4,1,Latino,Piedmont
