"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-07-14,Southside,"Not Reported",4,0,0
2020-07-14,Chesapeake,Female,789,87,11
2020-07-14,Richmond,Female,1192,109,9
2020-07-14,Roanoke,Male,280,8,3
2020-07-14,Fairfax,"Not Reported",97,3,2
2020-07-14,"Thomas Jefferson",Female,684,54,14
2020-07-14,Chesapeake,"Not Reported",1,0,0
2020-07-14,"Cumberland Plateau",Male,56,5,0
2020-07-14,"Eastern Shore",Female,662,59,23
2020-07-14,"Lord Fairfax","Not Reported",8,0,0
2020-07-14,Rappahannock,"Not Reported",7,1,0
2020-07-14,"Central Shenandoah","Not Reported",3,0,0
2020-07-14,Peninsula,Male,699,67,14
2020-07-14,Norfolk,Male,749,66,11
2020-07-14,Alexandria,Female,1270,117,30
2020-07-14,Lenowisco,Male,40,9,3
2020-07-14,Pittsylvania-Danville,Female,179,25,3
2020-07-14,"New River","Not Reported",3,0,0
2020-07-14,Chesterfield,"Not Reported",89,0,2
2020-07-14,Loudoun,Male,2196,168,38
2020-07-14,"Rappahannock Rapidan",Female,796,51,10
2020-07-14,Piedmont,Female,341,46,5
2020-07-14,Richmond,Male,1223,129,25
2020-07-14,Crater,Female,752,87,29
2020-07-14,Portsmouth,Female,389,51,11
2020-07-14,Arlington,"Not Reported",4,0,0
2020-07-14,"Mount Rogers","Not Reported",2,0,0
2020-07-14,"Thomas Jefferson","Not Reported",0,0,0
2020-07-14,"Three Rivers","Not Reported",20,0,0
2020-07-14,Hampton,Male,242,27,3
2020-07-14,Alleghany,Male,307,22,5
2020-07-14,Roanoke,Female,319,7,7
2020-07-14,Loudoun,"Not Reported",27,0,0
2020-07-14,Fairfax,Female,7457,751,251
2020-07-14,"Western Tidewater",Male,527,58,35
2020-07-14,Peninsula,"Not Reported",4,0,0
2020-07-14,"New River",Male,167,15,5
2020-07-14,"Central Shenandoah",Male,1071,90,20
2020-07-14,Southside,Male,214,28,13
2020-07-14,Chesterfield,Male,1730,92,41
2020-07-14,Arlington,Female,1301,189,65
2020-07-14,Rappahannock,Male,1272,132,27
2020-07-14,"Central Virginia",Male,264,9,4
2020-07-14,Alleghany,"Not Reported",7,0,0
2020-07-14,Henrico,Male,1337,144,82
2020-07-14,"Thomas Jefferson",Male,593,51,15
2020-07-14,"Lord Fairfax",Male,1047,101,36
2020-07-14,"Three Rivers",Male,549,23,3
2020-07-14,Richmond,"Not Reported",42,2,2
2020-07-14,Pittsylvania-Danville,Male,132,21,1
2020-07-14,Portsmouth,"Not Reported",3,0,0
2020-07-14,Norfolk,"Not Reported",0,0,0
2020-07-14,Chesapeake,Male,589,72,12
2020-07-14,Chickahominy,Female,399,59,21
2020-07-14,"Prince William",Male,4885,483,104
2020-07-14,"Eastern Shore","Not Reported",9,0,0
2020-07-14,"Eastern Shore",Male,648,54,19
2020-07-14,"Rappahannock Rapidan",Male,803,71,14
2020-07-14,Henrico,"Not Reported",13,0,0
2020-07-14,"Cumberland Plateau",Female,55,1,0
2020-07-14,"West Piedmont",Male,294,28,4
2020-07-14,Hampton,"Not Reported",4,0,0
2020-07-14,Alexandria,"Not Reported",7,0,0
2020-07-14,"Western Tidewater","Not Reported",1,0,0
2020-07-14,"Cumberland Plateau","Not Reported",0,0,0
2020-07-14,"Virginia Beach",Male,938,72,17
2020-07-14,Alleghany,Female,354,10,10
2020-07-14,Lenowisco,Female,49,9,1
2020-07-14,"Virginia Beach","Not Reported",11,0,0
2020-07-14,"Western Tidewater",Female,585,41,30
2020-07-14,"Mount Rogers",Male,391,55,20
2020-07-14,"Lord Fairfax",Female,1154,90,39
2020-07-14,Piedmont,"Not Reported",4,0,0
2020-07-14,Alexandria,Male,1188,133,27
2020-07-14,Pittsylvania-Danville,"Not Reported",2,0,0
2020-07-14,"West Piedmont","Not Reported",7,0,0
2020-07-14,Loudoun,Female,2235,128,61
2020-07-14,Hampton,Female,322,15,1
2020-07-14,Henrico,Female,1575,126,91
2020-07-14,"Prince William","Not Reported",68,1,0
2020-07-14,Chickahominy,Male,331,56,20
2020-07-14,"Rappahannock Rapidan","Not Reported",7,1,1
2020-07-14,Peninsula,Female,815,64,21
2020-07-14,Lenowisco,"Not Reported",0,0,0
2020-07-14,Crater,"Not Reported",15,1,0
2020-07-14,Chickahominy,"Not Reported",4,0,0
2020-07-14,Portsmouth,Male,369,37,8
2020-07-14,"New River",Female,145,8,1
2020-07-14,Rappahannock,Female,1420,117,19
2020-07-14,"Central Virginia",Female,257,7,2
2020-07-14,Roanoke,"Not Reported",12,0,0
2020-07-14,"West Piedmont",Female,345,31,4
2020-07-14,"Mount Rogers",Female,455,27,16
2020-07-14,Piedmont,Male,788,63,13
2020-07-14,Chesterfield,Female,1717,84,43
2020-07-14,Fairfax,Male,7147,985,261
2020-07-14,Crater,Male,971,82,20
2020-07-14,"Central Virginia","Not Reported",0,0,0
2020-07-14,"Prince William",Female,4892,380,78
2020-07-14,"Virginia Beach",Female,1044,68,15
2020-07-14,Norfolk,Female,857,66,5
2020-07-14,"Three Rivers",Female,247,34,9
2020-07-14,Arlington,Male,1355,233,69
2020-07-14,"Central Shenandoah",Female,1236,92,25
2020-07-14,Southside,Female,277,29,18
