Report Date,Week End Date,Geography Type,Geography Name,VDH Health Region,Facility Type,Count of CLI Visits,Percent of CLI Visits
7/13/2020,7/11/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,31,9
7/13/2020,7/4/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,26,9
7/13/2020,6/27/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,11,4
7/13/2020,6/20/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,7,3
7/13/2020,6/13/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,6,2
7/13/2020,6/6/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,8,4
7/13/2020,5/30/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,8,5
7/13/2020,5/23/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,6,4
7/13/2020,5/16/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,7,5
7/13/2020,5/9/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,4,3
7/13/2020,5/2/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,5,5
7/13/2020,4/25/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,4,3
7/13/2020,4/18/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,10,9
7/13/2020,4/11/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,9,7
7/13/2020,4/4/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,9,6
7/13/2020,3/28/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,25,16
7/13/2020,3/21/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,23,10
7/13/2020,3/14/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,44,9
7/13/2020,3/7/2020,Health District,Central Shenandoah,Northwest Region,Urgent Care,27,7
7/13/2020,7/11/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,92,4
7/13/2020,7/4/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,105,5
7/13/2020,6/27/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,76,4
7/13/2020,6/20/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,69,3
7/13/2020,6/13/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,70,3
7/13/2020,6/6/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,110,6
7/13/2020,5/30/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,109,5
7/13/2020,5/23/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,119,6
7/13/2020,5/16/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,145,8
7/13/2020,5/9/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,120,7
7/13/2020,5/2/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,160,9
7/13/2020,4/25/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,187,11
7/13/2020,4/18/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,190,11
7/13/2020,4/11/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,154,10
7/13/2020,4/4/2020,Health District,Central Shenandoah,Northwest Region,Emergency Department,170,11
