"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-18,Southside,216,34,17
2020-05-18,Chesapeake,387,78,10
2020-05-18,"Thomas Jefferson",384,66,13
2020-05-18,Roanoke,128,7,8
2020-05-18,"Eastern Shore",888,44,18
2020-05-18,"Mount Rogers",235,17,4
2020-05-18,Chickahominy,362,74,26
2020-05-18,"New River",88,12,1
2020-05-18,"Central Virginia",178,16,3
2020-05-18,Piedmont,576,38,5
2020-05-18,"Lord Fairfax",898,80,34
2020-05-18,Crater,405,77,14
2020-05-18,Hampton,163,30,3
2020-05-18,Alexandria,1510,162,34
2020-05-18,Fairfax,7934,1115,291
2020-05-18,Richmond,779,115,18
2020-05-18,Arlington,1638,323,77
2020-05-18,"Rappahannock Rapidan",707,56,11
2020-05-18,Rappahannock,989,124,14
2020-05-18,Pittsylvania-Danville,68,23,2
2020-05-18,"Prince William",4585,427,78
2020-05-18,"Cumberland Plateau",30,2,0
2020-05-18,Portsmouth,228,39,10
2020-05-18,"Virginia Beach",557,86,19
2020-05-18,"West Piedmont",89,13,3
2020-05-18,"Three Rivers",428,30,6
2020-05-18,Alleghany,164,23,6
2020-05-18,Lenowisco,42,15,4
2020-05-18,Norfolk,361,56,5
2020-05-18,"Western Tidewater",557,57,28
2020-05-18,Henrico,1272,171,113
2020-05-18,"Central Shenandoah",1200,89,24
2020-05-18,Loudoun,1486,139,48
2020-05-18,Chesterfield,1102,72,36
2020-05-18,Peninsula,506,112,31
