Date,"Total COVID-19 Patients","ICU Patients","Vent Patients",PPE,Capacity,"Surge Capacity","Beds Occupied"
2020-12-02,1860,427,188,0,16476,19771.2,13217
2021-01-05,2918,558,337,0,16476,19771.2,13398
2020-10-02,890,201,108,0,16476,19771.2,13247
2020-09-11,1120,249,120,2,16476,19771.2,13020
2020-08-26,1170,265,145,1,16476,19771.2,12889
2020-11-30,1658,376,162,0,16476,19771.2,12496
2020-07-08,971,230,98,0,16476,19771.2,12794
2020-11-22,1469,320,145,0,16476,19771.2,12780
2021-01-11,3117,571,352,0,16476,19771.2,13379
2020-07-18,1166,254,108,0,16476,19771.2,12758
2020-08-25,1174,273,144,1,16476,19771.2,12655
2020-12-26,2454,548,299,0,16476,19771.2,12384
2021-01-14,3196,583,366,0,16476,19771.2,13462
2020-06-13,959,295,142,0,16476,19771.2,12545
2020-06-08,1173,308,160,0,16476,19771.2,12049
2020-08-31,1082,257,146,2,16476,19771.2,12613
2020-09-28,890,193,103,0,16476,19771.2,12663
2021-01-15,3147,580,362,0,16476,19771.2,13514
2021-01-17,4043,566,339,0,16476,19771.2,13312
2020-04-20,1296,396,237,6,16476,19771.2,10515
2020-05-09,1593,367,198,0,16476,19771.2,11778
2020-08-22,1154,254,125,1,16476,19771.2,12860
2020-11-21,1507,331,135,0,16476,19771.2,12927
2020-12-29,2698,539,326,0,16476,19771.2,13136
2020-06-25,854,237,104,0,16476,19771.2,12852
2020-07-29,1350,276,155,0,16476,19771.2,12829
2020-12-25,2478,518,291,0,16476,19771.2,12726
2020-04-26,1436,387,217,2,16476,19771.2,11156
2020-10-10,943,208,97,0,16476,19771.2,13017
2020-09-30,908,190,104,0,16476,19771.2,13102
2020-08-13,1258,289,141,3,16476,19771.2,13043
2020-06-27,819,234,103,0,16476,19771.2,12629
2020-05-22,1459,366,207,0,16476,19771.2,12287
2020-06-07,1186,316,165,0,16476,19771.2,12102
2020-10-07,1003,228,109,0,16476,19771.2,13022
2020-04-18,1307,398,230,6,16476,19771.2,10379
2020-04-30,1550,372,208,2,16476,19771.2,11377
2020-11-03,1026,222,97,0,16476,19771.2,12847
2021-01-07,3000,568,366,0,16476,19771.2,13414
2020-10-14,1007,230,102,0,16476,19771.2,13083
2021-01-08,2991,547,351,0,16476,19771.2,13603
2020-12-24,2577,530,294,0,16476,19771.2,13122
2020-09-25,965,221,117,0,16476,19771.2,13004
2021-01-18,3151,584,354,0,16476,19771.2,13267
2020-09-24,982,219,112,0,16476,19771.2,13136
2020-11-07,1062,215,91,0,16476,19771.2,12971
2020-05-10,1555,351,187,0,16476,19771.2,11790
2020-07-19,1186,249,127,0,16476,19771.2,12656
2020-12-23,2586,532,290,0,16476,19771.2,13182
2020-10-05,925,213,101,0,16476,19771.2,12880
2020-10-01,913,210,107,0,16476,19771.2,13284
2020-05-27,1459,390,203,0,16476,19771.2,12176
2020-04-22,1374,419,244,3,16476,19771.2,10957
2020-08-30,1090,251,132,2,16476,19771.2,12629
2020-08-06,1349,284,157,0,16476,19771.2,12953
2020-09-20,939,263,126,0,16476,19771.2,12725
2020-12-16,2349,511,257,0,16476,19771.2,13398
2020-05-20,1536,370,202,0,16476,19771.2,12212
2020-11-06,1057,216,96,0,16476,19771.2,12557
2020-11-11,1265,250,106,0,16476,19771.2,13302
2020-08-02,1172,267,138,0,16476,19771.2,12765
2021-01-06,2925,537,357,0,16476,19771.2,13597
2020-06-12,1026,297,143,0,16476,19771.2,12684
2020-05-24,1351,354,192,0,16476,19771.2,11904
2020-06-10,1155,296,139,2,16476,19771.2,12594
2020-09-03,1130,257,123,1,16476,19771.2,13043
2020-11-19,1569,303,123,0,16476,19771.2,13174
2020-08-05,1304,283,144,0,16476,19771.2,12915
2020-06-30,902,230,98,0,16476,19771.2,12567
2020-06-11,1069,273,138,0,16476,19771.2,12642
2020-05-28,1502,416,195,0,16476,19771.2,12396
2020-10-17,993,219,100,0,16476,19771.2,13231
2020-04-14,1282,422,276,7,16476,19771.2,10485
2020-08-19,1243,280,145,0,16476,19771.2,12985
2021-01-19,3173,588,347,0,16476,19771.2,13318
2020-12-21,2442,530,282,0,16476,19771.2,12916
2020-05-07,1613,371,203,0,16476,19771.2,11793
2020-10-18,972,205,95,0,16476,19771.2,12516
2020-06-18,857,241,129,0,16476,19771.2,12594
2020-04-25,1405,357,223,3,16476,19771.2,11123
2020-04-17,1308,400,224,6,16476,19771.2,10889
2020-09-15,1015,228,104,2,16476,19771.2,12705
2020-06-24,886,235,107,0,16476,19771.2,12714
2020-05-12,1529,364,201,0,16476,19771.2,11692
2020-09-27,868,198,103,0,16476,19771.2,12633
2020-08-24,1127,256,134,1,16476,19771.2,12774
2020-09-09,1072,252,121,1,16476,19771.2,12730
2020-11-29,1628,365,155,0,16476,19771.2,12334
2020-08-08,1258,271,145,1,16476,19771.2,12967
2020-10-06,926,219,104,0,16476,19771.2,12680
2020-05-05,1496,361,189,0,16476,19771.2,11750
2020-04-16,1337,427,238,6,16476,19771.2,10933
2020-10-03,906,191,103,0,16476,19771.2,13144
2020-12-01,1757,398,173,0,16476,19771.2,12759
2020-10-11,924,201,98,0,16476,19771.2,12835
2021-01-13,3209,587,362,0,16476,19771.2,13505
2020-12-31,2744,525,328,0,16476,19771.2,13273
2020-10-25,979,216,109,0,16476,19771.2,12753
2020-12-18,2409,510,254,0,16476,19771.2,13402
2020-10-22,1109,218,120,0,16476,19771.2,13021
2020-09-04,1101,244,128,1,16476,19771.2,12962
2020-05-08,1625,378,199,0,16476,19771.2,11841
2020-11-23,1512,351,152,0,16476,19771.2,12666
2020-06-19,862,251,121,0,16476,19771.2,12613
2020-11-02,1031,214,97,0,16476,19771.2,12761
2020-11-20,1510,318,133,0,16476,19771.2,13120
2020-11-10,1174,224,88,0,16476,19771.2,12952
2020-08-29,1101,245,131,2,16476,19771.2,12867
2021-01-02,2710,557,335,0,16476,19771.2,12892
2020-06-14,958,334,155,0,16476,19771.2,12330
2021-01-10,3060,553,348,0,16476,19771.2,13435
2020-08-16,1184,283,165,1,16476,19771.2,12741
2020-07-20,1158,265,125,0,16476,19771.2,12599
2020-12-12,2088,429,229,0,16476,19771.2,13216
2020-12-14,2226,444,236,0,16476,19771.2,13117
2021-01-20,3098,554,338,0,16476,19771.2,13518
2020-07-04,808,207,99,0,16476,19771.2,12452
2020-06-01,1371,347,188,0,16476,19771.2,12056
2020-05-11,1504,362,194,0,16476,19771.2,11829
2020-05-18,1502,361,194,0,16476,19771.2,12087
2020-06-23,847,245,126,0,16476,19771.2,12152
