"﻿Report Date",HealthDistrict,HPRName,Cases,Death
2020-07-05,Fairfax,"Northern Region",2,0
2020-07-05,Roanoke,"Southwest Region",0,0
2020-07-05,"Eastern Shore","Eastern Region",0,0
2020-07-05,"Western Tidewater","Eastern Region",0,0
2020-07-05,"Thomas Jefferson","Northwest Region",0,0
2020-07-05,Pittsylvania-Danville,"Southwest Region",0,0
2020-07-05,"Cumberland Plateau","Southwest Region",0,0
2020-07-05,Henrico,"Central Region",0,0
2020-07-05,Portsmouth,"Eastern Region",0,0
2020-07-05,Hampton,"Eastern Region",0,0
2020-07-05,Chesapeake,"Eastern Region",0,0
2020-07-05,Rappahannock,"Northwest Region",0,0
2020-07-05,Loudoun,"Northern Region",0,0
2020-07-05,Southside,"Central Region",0,0
2020-07-05,Richmond,"Central Region",0,0
2020-07-05,Piedmont,"Central Region",0,0
2020-07-05,Norfolk,"Eastern Region",0,0
2020-07-05,"Three Rivers","Eastern Region",0,0
2020-07-05,"Prince William","Northern Region",1,0
2020-07-05,Chickahominy,"Central Region",0,0
2020-07-05,Alexandria,"Northern Region",1,0
2020-07-05,"Rappahannock Rapidan","Northwest Region",0,0
2020-07-05,Crater,"Central Region",0,0
2020-07-05,Lenowisco,"Southwest Region",0,0
2020-07-05,"Central Virginia","Southwest Region",0,0
2020-07-05,"Lord Fairfax","Northwest Region",0,0
2020-07-05,Chesterfield,"Central Region",0,0
2020-07-05,Arlington,"Northern Region",0,0
2020-07-05,"New River","Southwest Region",0,0
2020-07-05,Alleghany,"Southwest Region",0,0
2020-07-05,"Central Shenandoah","Northwest Region",1,0
2020-07-05,"Mount Rogers","Southwest Region",0,0
2020-07-05,"West Piedmont","Southwest Region",0,0
2020-07-05,"Virginia Beach","Eastern Region",0,0
2020-07-05,Peninsula,"Eastern Region",0,0
