Report Date,Date VDH Notified,Status,Locality,FIPS,Facility,Facility Type,Cases,Deaths,Active
12/11/2020,10/01/2020,Outbreak Closed,Alexandria,51510,Episcopal High School,K-12,*,0,0
12/11/2020,10/23/2020,Outbreak Closed,Roanoke County,51161,North Cross School,K-12,*,0,0
12/11/2020,09/17/2020,Outbreak Pending Closure,Staunton,51790,Grace Christian School,K-12,19,0,0
12/11/2020,10/21/2020,Outbreak Pending Closure,Amherst,51009,Temple Christian School,K-12,16,0,0
12/11/2020,10/22/2020,Outbreak Pending Closure,Bedford,51019,Forest Middle School,K-12,7,0,0
12/11/2020,09/24/2020,Outbreak Closed,Bedford,51019,Stewartsville Elementary School,K-12,*,0,0
12/11/2020,09/11/2020,Outbreak Closed,Campbell,51031,Altavista Elementary School,K-12,*,0,0
12/11/2020,10/23/2020,Outbreak Closed,Campbell,51031,Beacon Academy School,K-12,*,0,0
12/11/2020,09/22/2020,Outbreak Closed,Lynchburg,51680,Rivermont School,K-12,11,0,0
12/11/2020,09/18/2020,Outbreak Closed,Chesapeake,51550,Atlantic Shores Christian School,K-12,*,0,0
12/11/2020,11/24/2020,Outbreak in Progress,Chesapeake,51550,Great Hope Baptist Church School,K-12,12,0,1
12/11/2020,08/16/2020,Outbreak Closed,Chesapeake,51550,Plan Bee Academy,K-12,*,0,0
12/11/2020,09/18/2020,Outbreak Closed,Chesapeake,51550,Stonebridge School,K-12,10,0,0
12/11/2020,11/04/2020,Outbreak Pending Closure,Chesterfield,51041,Al Madina School of Richmond,K-12,6,0,0
12/11/2020,10/21/2020,Outbreak Pending Closure,Chesterfield,51041,Bon Air Elementary School,K-12,*,0,0
12/11/2020,09/22/2020,Outbreak Closed,Chesterfield,51041,Clover Hill Elementary School,K-12,*,0,0
12/11/2020,11/13/2020,Outbreak Pending Closure,Chesterfield,51041,O.B. Gates Elementary School,K-12,*,0,0
12/11/2020,10/30/2020,Outbreak Pending Closure,Chesterfield,51041,Providence Middle School,K-12,*,0,0
12/11/2020,09/04/2020,Outbreak Closed,Chesterfield,51041,Richmond Christian School,K-12,19,0,0
12/11/2020,12/02/2020,Outbreak in Progress,Colonial Heights,51570,Tussing Elementary School,K-12,*,0,1
12/11/2020,12/02/2020,Outbreak in Progress,Powhatan,51145,Pocahontas Elementary School,K-12,5,0,1
12/11/2020,09/11/2020,Outbreak Closed,Goochland,51075,Benedictine Schools of Richmond,K-12,*,0,0
12/11/2020,12/04/2020,Outbreak Pending Closure,Hanover,51085,Cool Spring Elementary School,K-12,*,0,0
12/11/2020,09/24/2020,Outbreak Closed,Hanover,51085,John Gandy Elementary School,K-12,*,0,0
12/11/2020,09/18/2020,Outbreak Closed,Hanover,51085,Kersey Elementary School,K-12,*,0,0
12/11/2020,09/07/2020,Outbreak Closed,Hanover,51085,Liberty Middle School,K-12,8,0,0
12/11/2020,09/24/2020,Outbreak Closed,Dinwiddie,51053,Centra Rivermont School of Greater Petersburg,K-12,5,0,0
12/11/2020,10/20/2020,Outbreak Closed,Hopewell,51670,Hopewell High School,K-12,*,0,0
12/11/2020,04/10/2020,Outbreak Closed,Buchanan,51027,Mountain Mission School,K-12,18,0,0
12/11/2020,09/10/2020,Outbreak Closed,Dickenson,51051,Ridgeview High School,K-12,*,0,0
12/11/2020,11/03/2020,Outbreak Closed,Russell,51167,Honaker Elementary School,K-12,6,0,0
12/11/2020,10/21/2020,Outbreak Closed,Tazewell,51185,Richlands Elementary School,K-12,7,0,0
12/11/2020,10/21/2020,Outbreak Closed,Accomack,51001,Nandua High School,K-12,*,0,0
