"﻿Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-22,Southside,"Not Reported",3,0,0
2020-05-22,Chesapeake,Female,236,43,6
2020-05-22,Richmond,Female,442,51,5
2020-05-22,Roanoke,Male,58,4,2
2020-05-22,Fairfax,"Not Reported",64,4,1
2020-05-22,"Thomas Jefferson",Female,218,37,5
2020-05-22,Chesapeake,"Not Reported",0,0,0
2020-05-22,"Cumberland Plateau",Male,14,1,0
2020-05-22,"Eastern Shore",Female,479,26,13
2020-05-22,"Lord Fairfax","Not Reported",9,0,0
2020-05-22,Rappahannock,"Not Reported",4,1,0
2020-05-22,"Central Shenandoah","Not Reported",4,0,0
2020-05-22,Peninsula,Male,250,60,12
2020-05-22,Norfolk,Male,196,29,5
2020-05-22,Alexandria,Female,844,76,20
2020-05-22,Lenowisco,Male,22,8,3
2020-05-22,Pittsylvania-Danville,Female,43,14,2
2020-05-22,"New River","Not Reported",1,0,0
2020-05-22,Chesterfield,"Not Reported",31,0,0
2020-05-22,Loudoun,Male,899,81,24
2020-05-22,"Rappahannock Rapidan",Female,438,26,4
2020-05-22,Piedmont,Female,131,16,1
2020-05-22,Richmond,Male,478,74,13
2020-05-22,Crater,Female,232,47,10
2020-05-22,Portsmouth,Female,121,22,5
2020-05-22,Arlington,"Not Reported",9,0,0
2020-05-22,"Mount Rogers","Not Reported",1,0,0
2020-05-22,"Thomas Jefferson","Not Reported",1,0,0
2020-05-22,"Three Rivers","Not Reported",1,0,0
2020-05-22,Hampton,Male,73,19,2
2020-05-22,Alleghany,Male,69,15,5
2020-05-22,Roanoke,Female,82,3,7
2020-05-22,Loudoun,"Not Reported",3,0,0
2020-05-22,Fairfax,Female,4350,522,160
2020-05-22,"Western Tidewater",Male,288,41,19
2020-05-22,Peninsula,"Not Reported",3,0,0
2020-05-22,"New River",Male,41,8,1
2020-05-22,"Central Shenandoah",Male,627,50,15
2020-05-22,Southside,Male,81,17,8
2020-05-22,Chesterfield,Male,581,42,19
2020-05-22,Arlington,Female,870,161,46
2020-05-22,Rappahannock,Male,539,75,10
2020-05-22,"Central Virginia",Male,102,9,4
2020-05-22,Alleghany,"Not Reported",1,0,0
2020-05-22,Henrico,Male,584,90,57
2020-05-22,"Thomas Jefferson",Male,182,31,9
2020-05-22,"Lord Fairfax",Male,461,45,17
2020-05-22,"Three Rivers",Male,320,13,1
2020-05-22,Richmond,"Not Reported",14,2,2
2020-05-22,Pittsylvania-Danville,Male,30,10,1
2020-05-22,Portsmouth,"Not Reported",2,0,0
2020-05-22,Norfolk,"Not Reported",0,0,0
2020-05-22,Chesapeake,Male,183,39,7
2020-05-22,Chickahominy,Female,228,38,13
2020-05-22,"Prince William",Male,2690,271,42
2020-05-22,"Eastern Shore","Not Reported",3,0,0
2020-05-22,"Eastern Shore",Male,435,33,14
2020-05-22,"Rappahannock Rapidan",Male,472,44,7
2020-05-22,Henrico,"Not Reported",2,0,0
2020-05-22,"Cumberland Plateau",Female,18,1,0
2020-05-22,"West Piedmont",Male,57,8,2
2020-05-22,Hampton,"Not Reported",2,0,0
2020-05-22,Alexandria,"Not Reported",5,0,0
2020-05-22,"Western Tidewater","Not Reported",3,0,0
2020-05-22,"Cumberland Plateau","Not Reported",0,0,0
2020-05-22,"Virginia Beach",Male,264,51,12
2020-05-22,Alleghany,Female,101,9,9
2020-05-22,Lenowisco,Female,20,7,1
2020-05-22,"Virginia Beach","Not Reported",2,0,0
2020-05-22,"Western Tidewater",Female,285,19,12
2020-05-22,"Mount Rogers",Male,124,14,4
2020-05-22,"Lord Fairfax",Female,561,51,20
2020-05-22,Piedmont,"Not Reported",0,0,0
2020-05-22,Alexandria,Male,808,99,17
2020-05-22,Pittsylvania-Danville,"Not Reported",0,0,0
2020-05-22,"West Piedmont","Not Reported",1,0,0
2020-05-22,Loudoun,Female,905,68,27
2020-05-22,Hampton,Female,94,11,1
2020-05-22,Henrico,Female,789,84,60
2020-05-22,"Prince William","Not Reported",39,1,0
2020-05-22,Chickahominy,Male,155,39,13
2020-05-22,"Rappahannock Rapidan","Not Reported",24,1,0
2020-05-22,Peninsula,Female,279,53,20
2020-05-22,Lenowisco,"Not Reported",0,0,0
2020-05-22,Crater,"Not Reported",5,2,0
2020-05-22,Chickahominy,"Not Reported",3,0,0
2020-05-22,Portsmouth,Male,128,18,6
2020-05-22,"New River",Female,48,4,0
2020-05-22,Rappahannock,Female,586,55,4
2020-05-22,"Central Virginia",Female,80,6,0
2020-05-22,Roanoke,"Not Reported",0,0,0
2020-05-22,"West Piedmont",Female,69,5,1
2020-05-22,"Mount Rogers",Female,137,6,2
2020-05-22,Piedmont,Male,504,27,4
2020-05-22,Chesterfield,Female,649,33,18
2020-05-22,Fairfax,Male,4417,672,169
2020-05-22,Crater,Male,237,32,4
2020-05-22,"Central Virginia","Not Reported",0,0,0
2020-05-22,"Prince William",Female,2578,224,49
2020-05-22,"Virginia Beach",Female,325,39,7
2020-05-22,Norfolk,Female,192,30,1
2020-05-22,"Three Rivers",Female,130,20,5
2020-05-22,Arlington,Male,916,185,45
2020-05-22,"Central Shenandoah",Female,707,56,13
2020-05-22,Southside,Female,158,17,13
,Southside,Female,158,17,13
,,,,,
