"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-07-14,20105,136,2125
2020-07-14,20106,47,319
2020-07-14,20109,1239,5436
2020-07-14,20110,1595,7457
2020-07-14,20111,1012,4477
2020-07-14,20112,255,2418
2020-07-14,20115,40,455
2020-07-14,20117,11,180
2020-07-14,20118,Suppressed*,140
2020-07-14,20119,33,315
2020-07-14,20120,375,3059
2020-07-14,20121,267,2003
2020-07-14,20124,77,1084
2020-07-14,20129,11,81
2020-07-14,20130,0,24
2020-07-14,20132,86,1495
2020-07-14,20135,12,243
2020-07-14,20136,230,2110
2020-07-14,20137,15,152
2020-07-14,20139,Suppressed*,17
2020-07-14,20141,30,550
2020-07-14,20143,5,95
2020-07-14,20144,Suppressed*,54
2020-07-14,20147,523,5807
2020-07-14,20148,253,3393
2020-07-14,20151,309,1910
2020-07-14,20152,244,2490
2020-07-14,20155,291,3118
2020-07-14,20158,26,385
2020-07-14,20164,1281,5640
2020-07-14,20165,354,4129
2020-07-14,20166,221,1382
2020-07-14,20169,115,1782
2020-07-14,20170,1088,4670
2020-07-14,20171,316,3056
2020-07-14,20175,292,3383
2020-07-14,20176,841,5910
2020-07-14,20180,37,637
2020-07-14,20181,53,771
2020-07-14,20184,Suppressed*,71
2020-07-14,20186,101,1640
2020-07-14,20187,102,1271
2020-07-14,20190,222,2285
2020-07-14,20191,336,2366
2020-07-14,20194,37,789
2020-07-14,20197,13,219
2020-07-14,20198,7,151
2020-07-14,22003,1320,6415
2020-07-14,22015,400,3198
2020-07-14,22025,125,1410
2020-07-14,22026,273,1983
2020-07-14,22027,60,218
2020-07-14,22030,435,4550
2020-07-14,22031,432,3433
2020-07-14,22032,145,2021
2020-07-14,22033,280,2910
2020-07-14,22035,Suppressed*,39
2020-07-14,22039,89,1260
2020-07-14,22041,762,3726
2020-07-14,22042,847,4117
2020-07-14,22043,264,1801
2020-07-14,22044,278,1465
2020-07-14,22046,213,1755
2020-07-14,22060,23,293
2020-07-14,22066,87,1173
2020-07-14,22079,354,2636
2020-07-14,22101,140,2651
2020-07-14,22102,134,1901
2020-07-14,22124,70,1243
2020-07-14,22125,Suppressed*,79
2020-07-14,22134,23,168
2020-07-14,22150,796,4221
2020-07-14,22151,292,1653
2020-07-14,22152,232,2062
