"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
7/18/2020,20105,140,2239
7/18/2020,20106,49,333
7/18/2020,20109,1260,5677
7/18/2020,20110,1619,7819
7/18/2020,20111,1029,4688
7/18/2020,20112,264,2557
7/18/2020,20115,40,478
7/18/2020,20117,11,190
7/18/2020,20118,5,150
7/18/2020,20119,35,330
7/18/2020,20120,390,3254
7/18/2020,20121,271,2130
7/18/2020,20124,79,1158
7/18/2020,20129,11,87
7/18/2020,20130,0,26
7/18/2020,20132,88,1581
7/18/2020,20135,12,255
7/18/2020,20136,246,2257
7/18/2020,20137,15,163
7/18/2020,20139,Suppressed*,17
7/18/2020,20141,30,594
7/18/2020,20143,5,97
7/18/2020,20144,Suppressed*,57
7/18/2020,20147,544,6256
7/18/2020,20148,265,3674
7/18/2020,20151,313,2027
7/18/2020,20152,245,2635
7/18/2020,20155,306,3278
7/18/2020,20158,26,403
7/18/2020,20164,1303,5835
7/18/2020,20165,364,4369
7/18/2020,20166,227,1468
7/18/2020,20169,118,1898
7/18/2020,20170,1098,4870
7/18/2020,20171,327,3228
7/18/2020,20175,299,3531
7/18/2020,20176,884,6238
7/18/2020,20180,39,681
7/18/2020,20181,53,806
7/18/2020,20184,Suppressed*,76
7/18/2020,20186,105,1697
7/18/2020,20187,115,1326
7/18/2020,20190,228,2475
7/18/2020,20191,335,2492
7/18/2020,20194,41,846
7/18/2020,20197,14,237
7/18/2020,20198,7,160
7/18/2020,22003,1339,6733
7/18/2020,22015,423,3413
7/18/2020,22025,127,1503
7/18/2020,22026,281,2109
7/18/2020,22027,59,231
7/18/2020,22030,449,4934
7/18/2020,22031,440,3765
7/18/2020,22032,148,2151
7/18/2020,22033,295,3113
7/18/2020,22035,Suppressed*,40
7/18/2020,22039,91,1360
7/18/2020,22041,769,3869
7/18/2020,22042,862,4319
7/18/2020,22043,263,1897
7/18/2020,22044,281,1536
7/18/2020,22046,217,1856
7/18/2020,22060,30,325
7/18/2020,22066,89,1265
7/18/2020,22079,361,2784
7/18/2020,22101,149,2779
7/18/2020,22102,139,2029
7/18/2020,22124,72,1338
7/18/2020,22125,Suppressed*,80
7/18/2020,22134,23,179
7/18/2020,22150,798,4469
7/18/2020,22151,296,1744
7/18/2020,22152,237,2210
7/18/2020,22153,203,2340
7/18/2020,22172,185,1126
7/18/2020,22180,241,2201
7/18/2020,22181,75,1109
7/18/2020,22182,140,2043
7/18/2020,22185,0,Suppressed*
7/18/2020,22191,1856,10169
7/18/2020,22192,849,7144
7/18/2020,22193,1675,9794
7/18/2020,22201,231,3235
7/18/2020,22202,233,2463
7/18/2020,22203,351,2640
7/18/2020,22204,1103,6555
7/18/2020,22205,152,2042
7/18/2020,22206,199,2056
7/18/2020,22207,326,3707
7/18/2020,22209,95,1210
7/18/2020,22211,Suppressed*,21
7/18/2020,22213,20,274
7/18/2020,22214,0,Suppressed*
7/18/2020,22301,95,1320
7/18/2020,22302,261,2992
7/18/2020,22303,233,1468
7/18/2020,22304,757,5613
7/18/2020,22305,617,2698
7/18/2020,22306,938,4153
7/18/2020,22307,84,985
7/18/2020,22308,78,886
7/18/2020,22309,709,3340
7/18/2020,22310,306,2399
7/18/2020,22311,490,2791
7/18/2020,22312,644,3399
7/18/2020,22314,237,3091
7/18/2020,22315,133,2069
7/18/2020,22401,283,3002
7/18/2020,22405,171,2603
7/18/2020,22406,145,2142
7/18/2020,22407,688,6366
7/18/2020,22408,245,2534
7/18/2020,22427,17,733
7/18/2020,22432,Suppressed*,67
7/18/2020,22433,Suppressed*,12
7/18/2020,22435,13,274
7/18/2020,22436,Suppressed*,64
7/18/2020,22437,Suppressed*,89
7/18/2020,22438,Suppressed*,55
7/18/2020,22443,38,730
7/18/2020,22448,Suppressed*,76
7/18/2020,22454,Suppressed*,136
7/18/2020,22460,8,191
7/18/2020,22469,44,280
7/18/2020,22473,23,592
7/18/2020,22476,Suppressed*,27
7/18/2020,22480,0,341
7/18/2020,22482,8,426
7/18/2020,22485,102,1936
7/18/2020,22488,56,232
7/18/2020,22503,9,407
7/18/2020,22504,0,22
7/18/2020,22508,70,1157
7/18/2020,22509,Suppressed*,7
7/18/2020,22511,5,131
7/18/2020,22514,17,215
7/18/2020,22520,46,710
7/18/2020,22529,Suppressed*,26
7/18/2020,22530,0,6
7/18/2020,22534,6,203
7/18/2020,22535,Suppressed*,46
7/18/2020,22538,Suppressed*,23
7/18/2020,22539,6,244
7/18/2020,22542,9,163
7/18/2020,22546,86,1322
7/18/2020,22548,0,8
7/18/2020,22551,111,1522
7/18/2020,22553,66,1216
7/18/2020,22554,514,4966
7/18/2020,22556,260,2279
7/18/2020,22560,52,1169
7/18/2020,22567,6,246
7/18/2020,22572,295,1270
7/18/2020,22576,Suppressed*,145
7/18/2020,22578,Suppressed*,191
7/18/2020,22579,Suppressed*,26
7/18/2020,22580,25,399
7/18/2020,22601,379,13115
7/18/2020,22602,205,1541
7/18/2020,22603,148,1302
7/18/2020,22610,11,73
7/18/2020,22611,31,619
7/18/2020,22620,12,157
7/18/2020,22623,Suppressed*,16
7/18/2020,22624,11,115
7/18/2020,22625,8,173
7/18/2020,22627,Suppressed*,49
7/18/2020,22630,282,2024
7/18/2020,22637,6,98
7/18/2020,22639,Suppressed*,29
7/18/2020,22640,Suppressed*,17
