"Report Date",ZCTA,"Number of Cases","Number of PCR Testing Encounters"
2020-06-28,20105,113,1619
2020-06-28,20106,39,262
2020-06-28,20109,1164,4598
2020-06-28,20110,1484,6516
2020-06-28,20111,952,3773
2020-06-28,20112,229,1887
2020-06-28,20115,39,357
2020-06-28,20117,9,134
2020-06-28,20118,Suppressed*,101
2020-06-28,20119,29,250
2020-06-28,20120,350,2354
2020-06-28,20121,237,1582
2020-06-28,20124,69,808
2020-06-28,20129,9,67
2020-06-28,20130,0,21
2020-06-28,20132,70,1159
2020-06-28,20135,10,180
2020-06-28,20136,203,1683
2020-06-28,20137,16,126
2020-06-28,20139,Suppressed*,14
2020-06-28,20141,24,409
2020-06-28,20143,Suppressed*,73
2020-06-28,20144,Suppressed*,44
2020-06-28,20147,427,4472
2020-06-28,20148,210,2570
2020-06-28,20151,280,1541
2020-06-28,20152,192,1902
2020-06-28,20155,256,2364
2020-06-28,20158,19,282
2020-06-28,20164,1222,4789
2020-06-28,20165,306,3263
2020-06-28,20166,202,1154
2020-06-28,20169,101,1370
2020-06-28,20170,1042,3834
2020-06-28,20171,302,2210
2020-06-28,20175,250,2696
2020-06-28,20176,746,4602
2020-06-28,20180,26,451
2020-06-28,20181,45,588
2020-06-28,20184,Suppressed*,53
2020-06-28,20186,76,1349
2020-06-28,20187,76,1030
2020-06-28,20190,218,1829
2020-06-28,20191,324,1888
2020-06-28,20194,37,594
2020-06-28,20197,10,173
2020-06-28,20198,6,114
2020-06-28,22003,1259,5396
2020-06-28,22015,380,2544
2020-06-28,22025,120,1128
2020-06-28,22026,245,1630
2020-06-28,22027,55,175
2020-06-28,22030,410,3641
2020-06-28,22031,408,2812
2020-06-28,22032,134,1526
2020-06-28,22033,260,2251
2020-06-28,22035,Suppressed*,39
2020-06-28,22039,63,920
2020-06-28,22041,744,3302
2020-06-28,22042,810,3406
2020-06-28,22043,247,1446
2020-06-28,22044,271,1224
2020-06-28,22046,205,1346
2020-06-28,22060,15,199
2020-06-28,22066,77,923
2020-06-28,22079,316,2131
2020-06-28,22101,128,2166
2020-06-28,22102,126,1488
2020-06-28,22124,63,940
2020-06-28,22125,Suppressed*,58
2020-06-28,22134,18,127
2020-06-28,22150,770,3587
2020-06-28,22151,283,1374
2020-06-28,22152,210,1603
2020-06-28,22153,173,1703
2020-06-28,22172,157,863
2020-06-28,22180,221,1612
2020-06-28,22181,65,737
2020-06-28,22182,122,1439
2020-06-28,22191,1618,7852
2020-06-28,22192,721,5510
2020-06-28,22193,1519,7789
2020-06-28,22201,223,2224
2020-06-28,22202,212,1679
2020-06-28,22203,328,2042
2020-06-28,22204,992,5240
2020-06-28,22205,141,1555
2020-06-28,22206,175,1520
2020-06-28,22207,274,2431
2020-06-28,22209,86,827
2020-06-28,22211,Suppressed*,19
2020-06-28,22213,18,193
2020-06-28,22214,0,3
2020-06-28,22301,86,983
2020-06-28,22302,243,2455
2020-06-28,22303,210,1165
2020-06-28,22304,682,4442
2020-06-28,22305,590,2255
2020-06-28,22306,872,3329
2020-06-28,22307,77,732
2020-06-28,22308,70,635
2020-06-28,22309,642,2608
2020-06-28,22310,291,1826
2020-06-28,22311,444,2350
2020-06-28,22312,581,2725
2020-06-28,22314,207,2263
2020-06-28,22315,106,1484
2020-06-28,22401,238,2210
2020-06-28,22405,140,1891
2020-06-28,22406,118,1525
2020-06-28,22407,612,4714
2020-06-28,22408,204,1895
2020-06-28,22427,15,461
2020-06-28,22432,Suppressed*,46
2020-06-28,22433,Suppressed*,9
2020-06-28,22435,6,153
2020-06-28,22436,0,48
2020-06-28,22437,Suppressed*,62
2020-06-28,22438,Suppressed*,42
2020-06-28,22443,35,455
2020-06-28,22448,Suppressed*,42
2020-06-28,22454,Suppressed*,99
2020-06-28,22460,5,126
2020-06-28,22469,15,145
2020-06-28,22473,21,338
2020-06-28,22476,Suppressed*,23
2020-06-28,22480,0,304
2020-06-28,22482,5,207
2020-06-28,22485,95,1434
2020-06-28,22488,15,93
2020-06-28,22503,6,324
2020-06-28,22504,0,14
2020-06-28,22508,58,872
2020-06-28,22509,Suppressed*,7
2020-06-28,22511,5,74
2020-06-28,22514,15,161
2020-06-28,22520,39,383
2020-06-28,22529,Suppressed*,16
2020-06-28,22530,0,3
2020-06-28,22534,5,150
2020-06-28,22535,Suppressed*,37
2020-06-28,22538,0,16
2020-06-28,22539,Suppressed*,137
2020-06-28,22542,9,132
2020-06-28,22546,67,984
2020-06-28,22548,0,6
2020-06-28,22551,97,1181
2020-06-28,22553,50,900
2020-06-28,22554,468,3608
2020-06-28,22556,231,1720
2020-06-28,22560,40,907
2020-06-28,22567,6,197
2020-06-28,22572,284,989
2020-06-28,22576,0,96
2020-06-28,22578,Suppressed*,134
2020-06-28,22579,Suppressed*,19
2020-06-28,22580,19,303
2020-06-28,22601,321,10680
2020-06-28,22602,170,850
2020-06-28,22603,116,488
2020-06-28,22610,9,43
2020-06-28,22611,24,410
2020-06-28,22620,11,100
2020-06-28,22623,Suppressed*,9
2020-06-28,22624,8,59
2020-06-28,22625,7,80
2020-06-28,22627,Suppressed*,28
2020-06-28,22630,253,1404
2020-06-28,22637,Suppressed*,49
2020-06-28,22639,0,22
2020-06-28,22640,Suppressed*,12
2020-06-28,22641,0,3
2020-06-28,22642,21,151
2020-06-28,22643,0,18
2020-06-28,22644,51,90
2020-06-28,22645,25,110
2020-06-28,22646,0,12
2020-06-28,22650,Suppressed*,19
2020-06-28,22652,7,41
2020-06-28,22654,Suppressed*,20
2020-06-28,22655,115,516
2020-06-28,22656,22,125
2020-06-28,22657,56,342
2020-06-28,22660,15,46
2020-06-28,22663,13,45
2020-06-28,22664,191,864
2020-06-28,22701,699,2830
2020-06-28,22709,Suppressed*,50
2020-06-28,22711,0,3
2020-06-28,22712,102,729
2020-06-28,22713,8,64
2020-06-28,22714,14,68
2020-06-28,22715,Suppressed*,63
2020-06-28,22716,Suppressed*,37
2020-06-28,22718,Suppressed*,31
2020-06-28,22719,0,11
2020-06-28,22720,Suppressed*,49
2020-06-28,22722,0,7
2020-06-28,22723,0,7
2020-06-28,22724,15,123
