Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,InitialVaccineVeteranTotal,CompletedVaccineVeteranTotal
"Cleveland, OH HCS",4375,145,4017,213,13881,3052
"North Chicago, IL HCS",4215,42,4150,23,3876,520
"Columbia, SC HCS",4016,187,3655,174,4762,422
"Phoenix, AZ HCS",3965,146,3619,200,9513,2562
"San Antonio, TX HCS",3890,118,3630,142,14029,9684
"Atlanta, GA HCS",3769,179,3477,113,5280,892
"Loma Linda, CA HCS",3606,109,3369,128,6882,551
"Dallas, TX HCS",3557,202,3219,136,10696,1295
"Orlando, FL HCS",3539,147,3326,66,22659,12431
"Houston, TX HCS",3474,126,3234,114,10950,2064
"Gainesville, FL HCS",3336,149,3059,128,17824,5770
Middle Tennessee HCS,3317,129,3041,147,8115,1913
"Temple, TX HCS",3265,146,3029,90,5985,1283
"Minneapolis, MN HCS",2955,70,2712,173,14832,2433
"Greater Los Angeles, CA HCS",2829,70,2653,106,9014,4286
"Long Beach, CA HCS",2817,92,2632,93,7236,1246
"Salisbury, NC HCS",2669,116,2431,122,9328,2560
"Aurora, CO HCS",2664,55,2526,83,6231,673
"Tampa, FL HCS",2586,76,2400,110,18604,5695
"Bay Pines, FL HCS",2572,92,2396,84,16115,4833
"Milwaukee, WI HCS",2566,55,2430,81,9001,2326
"Mountain Home, TN HCS",2565,81,2332,152,7137,2638
"Charleston, SC HCS",2478,96,2327,55,9864,2093
"Las Vegas, NV HCS",2409,110,2212,87,8354,3436
N. California HCS,2376,115,2168,93,10939,3285
"Indianapolis, IN HCS",2286,70,2108,108,5843,1272
"Little Rock, AR HCS",2281,100,2095,86,4996,2079
"San Diego, CA HCS",2253,97,2119,37,8510,1765
"Birmingham, AL HCS",2194,110,1977,107,9182,1857
"Hines, IL HCS",2189,43,2065,81,9248,3700
Texas Valley Coastal Bend HCS,2183,47,1995,141,3481,1362
"St. Louis, MO HCS",2162,63,2017,82,8386,2927
"Muskogee, OK HCS",2149,59,1961,129,3441,899
