Facility,VA Confirmed Total_Display,Active,Convalescent,Known Deaths,Dose 1 of 2 (Pfizer or Moderna),Dose 2 of 2 (Pfizer or Moderna),Dose 1 of 1 (Janssen)
"Cleveland, OH HCS",4707,73,4396,238,35223,27633,490
"Columbia, SC HCS",4416,60,4159,197,16544,9679,636
"North Chicago, IL HCS",4413,47,4341,25,9803,6837,110
"Phoenix, AZ HCS",4342,36,4079,227,27111,18227,309
"Atlanta, GA HCS",4278,68,4066,144,22310,12213,1174
"San Antonio, TX HCS",4165,54,3957,154,30672,19974,87
"Orlando, FL HCS",3978,87,3813,78,46663,35041,886
"Loma Linda, CA HCS",3886,30,3699,157,20469,12835,797
"Dallas, TX HCS",3883,46,3677,160,28890,16537,14
"Houston, TX HCS",3810,41,3636,133,35324,23852,798
"Gainesville, FL HCS",3752,54,3548,150,39219,28682,1012
Middle Tennessee HCS,3656,69,3407,180,22143,14246,1049
"Temple, TX HCS",3540,41,3386,113,23672,10559,1137
"Minneapolis, MN HCS",3165,55,2928,182,46226,31938,207
"Greater Los Angeles, CA HCS",3015,26,2865,124,29242,19926,694
"Long Beach, CA HCS",3007,24,2874,109,23333,15421,556
"Salisbury, NC HCS",2998,34,2830,134,25140,16297,306
"Bay Pines, FL HCS",2955,60,2794,101,38537,27311,379
"Tampa, FL HCS",2919,45,2749,125,40372,30428,1102
"Aurora, CO HCS",2857,50,2717,90,22920,14762,115
"Mountain Home, TN HCS",2781,49,2569,163,14770,10020,827
"Charleston, SC HCS",2750,41,2643,66,27438,17376,<10
"Milwaukee, WI HCS",2730,29,2614,87,27496,18246,376
"Las Vegas, NV HCS",2638,38,2499,101,21968,15180,498
N. California HCS,2572,41,2411,120,33881,22247,571
"Little Rock, AR HCS",2464,26,2337,101,17028,9503,<10
"San Diego, CA HCS",2452,33,2372,47,27540,16957,133
"Indianapolis, IN HCS",2419,30,2268,121,16317,10921,356
"Birmingham, AL HCS",2391,24,2237,130,19930,14332,2000
"Fayetteville, NC HCS",2335,41,2225,69,21595,13752,310
"Hines, IL HCS",2332,29,2213,90,23088,16673,490
"St. Louis, MO HCS",2295,34,2175,86,21744,14320,25
